StudentID,TotalNumberOfSemestersRegistered,Semester,NumCoursesTakenInTheSemester
0229, 2, 2, 8
0230, 3, 1, 8
0230, 3, 2, 1
0230, 3, 3, 1
0231, 3, 1, 8
0231, 3, 2, 6
0231, 3, 3, 1
0233, 3, 1, 10
0233, 3, 2, 10
0233, 3, 3, 1
0234, 1, 1, 8
0235, 2, 1, 8
0235, 2, 2, 2
0236, 2, 1, 10
0236, 2, 2, 7
0238, 3, 1, 9
0238, 3, 2, 9
0238, 3, 3, 1
0239, 2, 1, 5
0239, 2, 2, 1
0241, 1, 1, 1
0242, 3, 1, 7
0242, 3, 2, 7
0242, 3, 3, 1
0244, 3, 1, 9
0244, 3, 2, 8
0244, 3, 3, 1
0246, 3, 1, 9
0246, 3, 2, 8
0246, 3, 3, 2
0249, 1, 1, 1
0251, 2, 1, 8
0251, 2, 2, 2
0252, 3, 1, 9
0252, 3, 2, 8
0252, 3, 3, 2
0253, 2, 1, 8
0253, 2, 2, 2
